doc_id,Gender,predictions,GT_score,Gender
522,male,0.88684,0.88684,male
1968,male,0.84223,0.84223,male
5476,female,0.78697,0.78697,female
2845,male,0.82646,0.82646,male
7583,female,0.76345,0.76345,female
7620,female,0.76297,0.76297,female
3312,male,0.81795,0.81795,male
11158,female,0.72678,0.72678,female
3666,male,0.8125,0.8125,male
12740,female,0.71186,0.71186,female
13316,female,0.70627,0.70627,female
3703,male,0.81207,0.81207,male
13716,female,0.70235,0.70235,female
4768,male,0.79658,0.79658,male
14165,female,0.69804,0.69804,female
14560,female,0.69408,0.69408,female
5043,male,0.79294,0.79294,male
14877,female,0.69087,0.69087,female
8780,male,0.75078,0.75078,male
15711,female,0.68246,0.68246,female
16499,female,0.67161,0.67161,female
11207,male,0.72639,0.72639,male
16540,female,0.67089,0.67089,female
12029,male,0.71836,0.71836,male
17973,female,0.65028,0.65028,female
18247,female,0.64646,0.64646,female
12266,male,0.7164,0.7164,male
18490,female,0.64264,0.64264,female
13036,male,0.70909,0.70909,male
19133,female,0.63231,0.63231,female
19715,female,0.62256,0.62256,female
13797,male,0.70149,0.70149,male
22544,female,0.55725,0.55725,female
14722,male,0.6924,0.6924,male
23007,female,0.54372,0.54372,female
23009,female,0.54362,0.54362,female
14972,male,0.68992,0.68992,male
23152,female,0.53937,0.53937,female
16856,male,0.66683,0.66683,male
24404,female,0.49027,0.49027,female
24590,female,0.47956,0.47956,female
17176,male,0.66185,0.66185,male
24904,female,0.46192,0.46192,female
17298,male,0.66013,0.66013,male
19113,male,0.6326,0.6326,male
19472,male,0.62695,0.62695,male
19501,male,0.62648,0.62648,male
24848,male,0.46551,0.46551,male
25885,male,0.38787,0.38787,male
26158,male,0.35636,0.35636,male
